Date,Task,Project,Count
,Analysis,32 A/B: Viewport expansion,7
,Biking stationary,Habbit,1
,Pref name first IBE,A/B projects,4
,Getting ready for first Pomodoro,Bad habbits,2
,Chest,Habbit,2
2016-05-11,,,
,Analysis,32 A/B: Viewport expansion,2
,Weekly review every week,Habbit,2
,Pref name first IBE,A/B projects,5
,Getting ready for first Pomodoro,Bad habbits,2
,Cooking,Habbit,1
2016-05-12,,,
,Analysis,32 A/B: Viewport expansion,9
,Getting ready for first Pomodoro,Bad habbits,1
,"Errands, Email, calls",Habbit,1
,Presentation and design,32 A/B: Viewport expansion,4
2016-05-14,,,
,Clean house,Habbit,3
,"Errands, Email, calls",Habbit,4
2016-05-15,,,
,Legs day,Habbit,1
,Biking stationary,Habbit,1
,Meditation,Habbit,1
,Yoga,Habbit,1
,"Model building 45,C",Name ranking 45,1
,Sort Pocket Read It later,Habbit,1
,Arms day,Habbit,1
2016-05-16,,,
,Weekly review every week,Habbit,1
,"Model building 45,C",Name ranking 45,4
,"Errands, Email, calls",Habbit,1
2016-05-17,,,
,"Model building 45,C",Name ranking 45,7
,Biking stationary,Habbit,1
,Getting ready for first Pomodoro,Bad habbits,2
,Meditation,Habbit,1
,Chest,Habbit,1
2016-05-18,,,
,"Model building 45,C",Name ranking 45,1
,Beyond ToDoist podcast,Podcast ,1
,"Errands, Email, calls",Habbit,1
,Presentation and design,32 A/B: Viewport expansion,10
2016-05-19,,,
,Meditation,Habbit,1
,NAME Global Results,A/B projects,7
2016-05-20,,,
,Pref name first IBE,A/B projects,1
,NAME Global Results,A/B projects,3
2016-05-22,,,
,Arms day,Habbit,1
2016-05-23,,,
,"Errands, Email, calls",Habbit,2
2016-05-24,,,
,Cooking,Habbit,1
,Biking stationary,Habbit,1
,Gym treadmill run,Habbit,1
2016-05-26,,,
,Daily Review,Habbit,1
2016-05-27,,,
,Daily Review,Habbit,1
,"Errands, Email, calls",Habbit,3
2016-05-28,,,
,Sort Pocket Read It later,Habbit,2
,Arms day,Habbit,1
,Core strength,Habbit,1
2016-05-29,,,
,Gym treadmill run,Habbit,1
,Foursquare Coding,ML related,2
,Cooking,Habbit,3
,Co-occurence matrix,ML related,3
,Foursquare blogging,ML related,3
2016-05-30,,,
,Cooking,Habbit,1
,Pomodoro Coding,ML related,13
2016-05-31,,,
,Beyond ToDoist podcast,Podcast ,1
,Pomodoro Coding,ML related,1
2016-06-01,,,
,Analysis,32 A/B: Viewport expansion,3
,Arms day,Habbit,2
,Presentation and design,32 A/B: Viewport expansion,1
,One intentional life,Podcast ,1
,MM Chain category subsume name,A/B projects,2
2016-06-02,,,
,Presentation and design,32 A/B: Viewport expansion,4
,Analysis,32 A/B: Viewport expansion,1
2016-06-03,,,
,Legs day,Habbit,2
,Code Model Loader,32 A/B: Viewport expansion,6
2016-06-04,,,
,Cooking,Habbit,2
,Foursquare blogging,ML related,2
2016-06-05,,,
,Pomodoro Coding,ML related,4
,Cooking,Habbit,3
,Foursquare blogging,ML related,2
2016-06-06,,,
,Chest,Habbit,2
,Code Model Loader,32 A/B: Viewport expansion,4
,Biking stationary,Habbit,1
2016-06-07,,,
,Code Model Loader,32 A/B: Viewport expansion,5
2016-06-08,,,
,Code Model Loader,32 A/B: Viewport expansion,15
